timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1593489706668,55,GET ALL,200,,DemoApp Thread Group 1-1,text,true,,526800,183,1,1,http://localhost:8080/search,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET ALL_response_07.01.46_30.06.2020_100.json,38,ISO-8859-1,1,0,DNAPC,0,0
1593489706738,2,GET VALID_NAME_AND_ID,200,,DemoApp Thread Group 1-1,text,true,,205,206,1,1,http://localhost:8080/search?id=1&name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_AND_ID_response_07.01.46_30.06.2020_101.json,1,ISO-8859-1,1,0,DNAPC,0,0
1593489706741,2,GET VALID_ID,200,,DemoApp Thread Group 1-1,text,true,,205,188,1,1,http://localhost:8080/search?id=1,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_ID_response_07.01.46_30.06.2020_102.json,2,ISO-8859-1,1,0,DNAPC,0,0
1593489706744,21,GET VALID_NAME,200,,DemoApp Thread Group 1-1,text,true,,223275,201,1,1,http://localhost:8080/search?name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_response_07.01.46_30.06.2020_103.json,16,ISO-8859-1,1,0,DNAPC,0,0
1593489706787,50,GET  EMPTY_NAME,200,,DemoApp Thread Group 1-1,text,true,,526800,189,1,1,http://localhost:8080/search?name=,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET  EMPTY_NAME_response_07.01.46_30.06.2020_104.json,36,ISO-8859-1,1,0,DNAPC,0,0
1593489706888,1,GET NON_NUMERIC_ID,400,,DemoApp Thread Group 1-1,text,true,,254,204,1,1,http://localhost:8080/search?id=non_numeric_value,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET NON_NUMERIC_ID_response_07.01.46_30.06.2020_105.json,1,ISO-8859-1,1,0,DNAPC,0,0
1593489706891,3,POST VALID_NAME,200,,DemoApp Thread Group 1-1,,true,,121,227,1,1,http://localhost:8080/addCar,F:\disk E\Тестирование_материалы\jmeter_files\response_data\POST VALID_NAME_response_07.01.46_30.06.2020_106.unknown,3,ISO-8859-1,1,0,DNAPC,0,1
1593489706895,47,GET ALL,200,,DemoApp Thread Group 1-1,text,true,,526835,183,1,1,http://localhost:8080/search,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET ALL_response_07.01.46_30.06.2020_107.json,33,ISO-8859-1,1,0,DNAPC,0,0
1593489706952,1,GET VALID_NAME_AND_ID,200,,DemoApp Thread Group 1-1,text,true,,205,206,1,1,http://localhost:8080/search?id=1&name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_AND_ID_response_07.01.46_30.06.2020_108.json,1,ISO-8859-1,1,0,DNAPC,0,0
1593489706955,0,GET VALID_ID,200,,DemoApp Thread Group 1-1,text,true,,205,188,1,1,http://localhost:8080/search?id=1,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_ID_response_07.01.46_30.06.2020_109.json,0,ISO-8859-1,1,0,DNAPC,0,0
1593489706956,19,GET VALID_NAME,200,,DemoApp Thread Group 1-1,text,true,,223310,201,1,1,http://localhost:8080/search?name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_response_07.01.46_30.06.2020_110.json,14,ISO-8859-1,1,0,DNAPC,0,0
1593489706993,53,GET  EMPTY_NAME,200,,DemoApp Thread Group 1-1,text,true,,526835,189,1,1,http://localhost:8080/search?name=,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET  EMPTY_NAME_response_07.01.47_30.06.2020_111.json,39,ISO-8859-1,1,0,DNAPC,0,0
1593489707097,1,GET NON_NUMERIC_ID,400,,DemoApp Thread Group 1-1,text,true,,254,204,1,1,http://localhost:8080/search?id=non_numeric_value,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET NON_NUMERIC_ID_response_07.01.47_30.06.2020_112.json,1,ISO-8859-1,1,0,DNAPC,0,0
1593489707117,3,POST EMPTY_NAME,200,,DemoApp Thread Group 1-1,,true,,121,215,1,1,http://localhost:8080/addCar,F:\disk E\Тестирование_материалы\jmeter_files\response_data\POST EMPTY_NAME_response_07.01.47_30.06.2020_113.unknown,3,ISO-8859-1,1,0,DNAPC,0,2
1593489707122,58,GET ALL,200,,DemoApp Thread Group 1-1,text,true,,526858,183,1,1,http://localhost:8080/search,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET ALL_response_07.01.47_30.06.2020_114.json,43,ISO-8859-1,1,0,DNAPC,0,0
1593489707190,4,GET VALID_NAME_AND_ID,200,,DemoApp Thread Group 1-1,text,true,,205,206,1,1,http://localhost:8080/search?id=1&name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_AND_ID_response_07.01.47_30.06.2020_115.json,3,ISO-8859-1,1,0,DNAPC,0,0
1593489707195,2,GET VALID_ID,200,,DemoApp Thread Group 1-1,text,true,,205,188,1,1,http://localhost:8080/search?id=1,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_ID_response_07.01.47_30.06.2020_116.json,2,ISO-8859-1,1,0,DNAPC,0,0
1593489707198,20,GET VALID_NAME,200,,DemoApp Thread Group 1-1,text,true,,223310,201,1,1,http://localhost:8080/search?name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_response_07.01.47_30.06.2020_117.json,15,ISO-8859-1,1,0,DNAPC,0,0
1593489707237,52,GET  EMPTY_NAME,200,,DemoApp Thread Group 1-1,text,true,,526858,189,1,1,http://localhost:8080/search?name=,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET  EMPTY_NAME_response_07.01.47_30.06.2020_118.json,38,ISO-8859-1,1,0,DNAPC,0,0
1593489707338,2,GET NON_NUMERIC_ID,400,,DemoApp Thread Group 1-1,text,true,,254,204,1,1,http://localhost:8080/search?id=non_numeric_value,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET NON_NUMERIC_ID_response_07.01.47_30.06.2020_119.json,2,ISO-8859-1,1,0,DNAPC,0,0
